City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Garowe,SO,2021-07-27 22:16:38,8.4054,48.4845,75.63,50,100,23.47
223,Nouadhibou,MR,2021-07-27 22:16:38,20.931,-17.0347,69.78,83,4,19.57
224,Yelizovo,RU,2021-07-27 22:16:39,53.1873,158.3805,71.74,64,0,11.18
225,Goedereede,NL,2021-07-27 22:16:39,51.8175,3.9806,63.0,84,83,18.43
226,Saint-Francois,FR,2021-07-27 22:16:39,46.4154,3.9054,64.18,97,90,2.3
227,Bodden Town,KY,2021-07-27 22:16:40,19.2833,-81.25,75.2,88,75,11.5
228,Henties Bay,NA,2021-07-27 22:16:40,-22.116,14.2845,57.85,81,0,8.63
229,Noumea,NC,2021-07-27 22:16:40,-22.2763,166.4572,71.01,99,48,12.15
230,Namatanai,PG,2021-07-27 22:16:41,-3.6667,152.4333,81.73,75,51,4.52
231,Miramar,US,2021-07-27 22:15:21,25.9873,-80.2323,91.02,68,75,14.97
232,Moose Factory,CA,2021-07-27 22:16:41,51.2585,-80.6094,64.4,68,1,11.5
233,Shetpe,KZ,2021-07-27 22:16:41,44.1667,52.1167,75.56,24,85,21.18
234,Pocone,BR,2021-07-27 22:14:28,-16.2567,-56.6228,79.14,45,57,14.7
235,Arcachon,FR,2021-07-27 22:12:12,44.5875,-1.0519,66.25,82,75,4.61
236,Lebu,CL,2021-07-27 22:16:43,-37.6167,-73.65,47.98,76,0,24.14
237,Shahrud,IR,2021-07-27 22:16:44,36.4182,54.9763,76.93,41,0,4.72
238,Sao Joao Da Barra,BR,2021-07-27 22:16:44,-21.6403,-41.0511,72.41,85,2,19.98
239,Hauterive,FR,2021-07-27 22:16:44,46.0901,3.4459,63.36,94,89,0.29
240,Adrar,MR,2021-07-27 22:16:44,20.5022,-10.0711,92.53,21,100,12.84
241,Labrea,BR,2021-07-27 22:16:45,-7.2586,-64.7981,87.87,39,22,0.22
242,Scarborough,GB,2021-07-27 22:15:00,54.2797,-0.4044,63.54,88,98,6.8
243,Brae,GB,2021-07-27 22:11:48,60.3964,-1.353,55.31,93,47,4.52
244,George,ZA,2021-07-27 22:16:45,-33.963,22.4617,53.15,87,75,5.75
245,Pendleton,US,2021-07-27 22:16:46,45.6721,-118.7886,88.2,36,1,0.0
246,Antsohihy,MG,2021-07-27 22:16:46,-14.8796,47.9875,65.77,71,17,6.55
247,Vao,NC,2021-07-27 22:16:46,-22.6667,167.4833,67.96,59,100,16.84
248,Hasaki,JP,2021-07-27 22:16:47,35.7333,140.8333,79.2,83,70,16.33
249,Byron Bay,AU,2021-07-27 22:16:47,-28.65,153.6167,64.35,76,5,12.77
250,Mogadishu,SO,2021-07-27 22:16:47,2.0371,45.3438,76.62,81,87,21.03
251,Isangel,VU,2021-07-27 22:16:47,-19.55,169.2667,75.31,69,40,3.44
252,Acarau,BR,2021-07-27 22:16:48,-2.8856,-40.12,78.58,78,34,16.11
253,Necochea,AR,2021-07-27 22:16:48,-38.5473,-58.7368,45.03,69,49,23.73
254,Dhidhdhoo,MV,2021-07-27 22:16:48,6.8833,73.1,82.02,77,83,15.01
255,Mahanoro,MG,2021-07-27 22:16:49,-19.9,48.8,63.43,79,71,12.77
256,Atasu,KZ,2021-07-27 22:16:49,48.6814,71.6433,58.87,45,1,7.87
257,Port Hawkesbury,CA,2021-07-27 22:16:49,45.6169,-61.3485,73.69,88,1,3.0
258,Yuci,CN,2021-07-27 22:16:50,37.6803,112.7319,73.15,68,0,6.71
259,San Ignacio,BZ,2021-07-27 22:16:50,17.1561,-89.0714,92.07,44,90,10.0
260,Namibe,AO,2021-07-27 22:16:50,-15.1961,12.1522,65.97,82,69,2.28
261,Zanjan,IR,2021-07-27 22:16:51,36.6736,48.4787,70.56,60,15,8.77
262,Yulara,AU,2021-07-27 22:16:51,-25.2406,130.9889,58.84,55,90,0.0
263,Kahului,US,2021-07-27 22:16:44,20.8947,-156.47,87.82,73,40,23.02
264,General Roca,AR,2021-07-27 22:16:51,-39.0333,-67.5833,50.4,34,3,8.14
265,Howard Springs,AU,2021-07-27 22:16:52,-12.497,131.047,71.51,98,19,4.47
266,Westport,US,2021-07-27 22:12:41,41.1415,-73.3579,89.62,53,1,1.01
267,Circasia,CO,2021-07-27 22:16:52,4.6189,-75.6358,68.09,87,92,1.03
268,Gumdag,TM,2021-07-27 22:16:52,39.2061,54.5906,88.81,22,3,6.11
269,Svetlaya,RU,2021-07-27 22:16:53,46.5389,138.3297,71.29,82,77,1.25
270,Anadyr,RU,2021-07-27 22:16:53,64.75,177.4833,48.7,100,90,17.0
271,Honningsvag,NO,2021-07-27 22:16:53,70.9821,25.9704,46.78,89,12,8.52
272,Vila Velha,BR,2021-07-27 22:15:45,-20.3297,-40.2925,77.97,77,0,10.36
273,Acapulco,MX,2021-07-27 22:16:26,16.8634,-99.8901,85.82,66,75,3.44
274,Tigil,RU,2021-07-27 22:16:54,57.8,158.6667,57.38,86,100,4.76
